Id,Category
trainval_00000.jpg,7
trainval_00001.jpg,198
trainval_00002.jpg,161
trainval_00003.jpg,131
trainval_00004.jpg,107
trainval_00005.jpg,194
trainval_00006.jpg,77
trainval_00007.jpg,73
trainval_00008.jpg,150
trainval_00009.jpg,2
trainval_00010.jpg,59
trainval_00011.jpg,83
trainval_00012.jpg,158
trainval_00013.jpg,14
trainval_00014.jpg,35
trainval_00015.jpg,135
trainval_00016.jpg,130
trainval_00017.jpg,40
trainval_00018.jpg,131
trainval_00019.jpg,189
trainval_00020.jpg,172
trainval_00021.jpg,190
trainval_00022.jpg,17
trainval_00023.jpg,186
trainval_00024.jpg,17
trainval_00025.jpg,182
trainval_00026.jpg,56
trainval_00027.jpg,196
trainval_00028.jpg,69
trainval_00029.jpg,122
trainval_00030.jpg,0
trainval_00031.jpg,50
trainval_00032.jpg,178
trainval_00033.jpg,185
trainval_00034.jpg,15
trainval_00035.jpg,100
trainval_00036.jpg,123
trainval_00037.jpg,55
trainval_00038.jpg,73
trainval_00039.jpg,162
trainval_00040.jpg,73
trainval_00041.jpg,134
trainval_00042.jpg,19
trainval_00043.jpg,26
trainval_00044.jpg,82
trainval_00045.jpg,82
trainval_00046.jpg,197
trainval_00047.jpg,19
trainval_00048.jpg,112
trainval_00049.jpg,193
trainval_00050.jpg,46
trainval_00051.jpg,128
trainval_00052.jpg,136
trainval_00053.jpg,31
trainval_00054.jpg,43
trainval_00055.jpg,53
trainval_00056.jpg,137
trainval_00057.jpg,91
trainval_00058.jpg,39
trainval_00059.jpg,46
trainval_00060.jpg,33
trainval_00061.jpg,37
trainval_00062.jpg,15
trainval_00063.jpg,165
trainval_00064.jpg,124
trainval_00065.jpg,113
trainval_00066.jpg,27
trainval_00067.jpg,34
trainval_00068.jpg,186
trainval_00069.jpg,194
trainval_00070.jpg,49
trainval_00071.jpg,23
trainval_00072.jpg,189
trainval_00073.jpg,125
trainval_00074.jpg,37
trainval_00075.jpg,119
trainval_00076.jpg,56
trainval_00077.jpg,97
trainval_00078.jpg,180
trainval_00079.jpg,64
trainval_00080.jpg,104
trainval_00081.jpg,10
trainval_00082.jpg,168
trainval_00083.jpg,105
trainval_00084.jpg,71
trainval_00085.jpg,94
trainval_00086.jpg,54
trainval_00087.jpg,47
trainval_00088.jpg,198
trainval_00089.jpg,46
trainval_00090.jpg,13
trainval_00091.jpg,119
trainval_00092.jpg,107
trainval_00093.jpg,164
trainval_00094.jpg,167
trainval_00095.jpg,46
trainval_00096.jpg,159
trainval_00097.jpg,152
trainval_00098.jpg,49
trainval_00099.jpg,189
trainval_00100.jpg,109
trainval_00101.jpg,88
trainval_00102.jpg,137
trainval_00103.jpg,24
trainval_00104.jpg,99
trainval_00105.jpg,144
trainval_00106.jpg,178
trainval_00107.jpg,53
trainval_00108.jpg,173
trainval_00109.jpg,48
trainval_00110.jpg,131
trainval_00111.jpg,0
trainval_00112.jpg,52
trainval_00113.jpg,125
trainval_00114.jpg,62
trainval_00115.jpg,21
trainval_00116.jpg,48
trainval_00117.jpg,185
trainval_00118.jpg,144
trainval_00119.jpg,199
trainval_00120.jpg,79
trainval_00121.jpg,81
trainval_00122.jpg,78
trainval_00123.jpg,167
trainval_00124.jpg,118
trainval_00125.jpg,87
trainval_00126.jpg,46
trainval_00127.jpg,28
trainval_00128.jpg,71
trainval_00129.jpg,48
trainval_00130.jpg,8
trainval_00131.jpg,75
trainval_00132.jpg,157
trainval_00133.jpg,42
trainval_00134.jpg,130
trainval_00135.jpg,44
trainval_00136.jpg,66
trainval_00137.jpg,165
trainval_00138.jpg,92
trainval_00139.jpg,151
trainval_00140.jpg,72
trainval_00141.jpg,30
trainval_00142.jpg,78
trainval_00143.jpg,109
trainval_00144.jpg,142
trainval_00145.jpg,180
trainval_00146.jpg,171
trainval_00147.jpg,100
trainval_00148.jpg,67
trainval_00149.jpg,144
trainval_00150.jpg,77
trainval_00151.jpg,17
trainval_00152.jpg,128
trainval_00153.jpg,179
trainval_00154.jpg,10
trainval_00155.jpg,136
trainval_00156.jpg,185
trainval_00157.jpg,49
trainval_00158.jpg,53
trainval_00159.jpg,56
trainval_00160.jpg,128
trainval_00161.jpg,157
trainval_00162.jpg,79
trainval_00163.jpg,188
trainval_00164.jpg,0
trainval_00165.jpg,155
trainval_00166.jpg,101
trainval_00167.jpg,146
trainval_00168.jpg,100
trainval_00169.jpg,143
trainval_00170.jpg,180
trainval_00171.jpg,97
trainval_00172.jpg,180
trainval_00173.jpg,139
trainval_00174.jpg,73
trainval_00175.jpg,140
trainval_00176.jpg,197
trainval_00177.jpg,107
trainval_00178.jpg,39
trainval_00179.jpg,100
trainval_00180.jpg,96
trainval_00181.jpg,60
trainval_00182.jpg,99
trainval_00183.jpg,8
trainval_00184.jpg,45
trainval_00185.jpg,129
trainval_00186.jpg,61
trainval_00187.jpg,66
trainval_00188.jpg,180
trainval_00189.jpg,9
trainval_00190.jpg,20
trainval_00191.jpg,83
trainval_00192.jpg,125
trainval_00193.jpg,172
trainval_00194.jpg,196
trainval_00195.jpg,46
trainval_00196.jpg,75
trainval_00197.jpg,50
trainval_00198.jpg,180
trainval_00199.jpg,2
trainval_00200.jpg,122
trainval_00201.jpg,49
trainval_00202.jpg,68
trainval_00203.jpg,173
trainval_00204.jpg,74
trainval_00205.jpg,19
trainval_00206.jpg,177
trainval_00207.jpg,129
trainval_00208.jpg,78
trainval_00209.jpg,8
trainval_00210.jpg,130
trainval_00211.jpg,153
trainval_00212.jpg,19
trainval_00213.jpg,96
trainval_00214.jpg,123
trainval_00215.jpg,168
trainval_00216.jpg,171
trainval_00217.jpg,197
trainval_00218.jpg,130
trainval_00219.jpg,195
trainval_00220.jpg,159
trainval_00221.jpg,173
trainval_00222.jpg,39
trainval_00223.jpg,86
trainval_00224.jpg,11
trainval_00225.jpg,101
trainval_00226.jpg,9
trainval_00227.jpg,52
trainval_00228.jpg,9
trainval_00229.jpg,132
trainval_00230.jpg,75
trainval_00231.jpg,83
trainval_00232.jpg,121
trainval_00233.jpg,58
trainval_00234.jpg,107
trainval_00235.jpg,122
trainval_00236.jpg,190
trainval_00237.jpg,41
trainval_00238.jpg,72
trainval_00239.jpg,95
trainval_00240.jpg,64
trainval_00241.jpg,149
trainval_00242.jpg,34
trainval_00243.jpg,109
trainval_00244.jpg,78
trainval_00245.jpg,191
trainval_00246.jpg,120
trainval_00247.jpg,179
trainval_00248.jpg,22
trainval_00249.jpg,50
trainval_00250.jpg,124
trainval_00251.jpg,182
trainval_00252.jpg,67
trainval_00253.jpg,40
trainval_00254.jpg,57
trainval_00255.jpg,59
trainval_00256.jpg,13
trainval_00257.jpg,101
trainval_00258.jpg,76
trainval_00259.jpg,46
trainval_00260.jpg,75
trainval_00261.jpg,22
trainval_00262.jpg,43
trainval_00263.jpg,158
trainval_00264.jpg,172
trainval_00265.jpg,180
trainval_00266.jpg,197
trainval_00267.jpg,85
trainval_00268.jpg,142
trainval_00269.jpg,71
trainval_00270.jpg,99
trainval_00271.jpg,198
trainval_00272.jpg,1
trainval_00273.jpg,26
trainval_00274.jpg,55
trainval_00275.jpg,174
trainval_00276.jpg,54
trainval_00277.jpg,161
trainval_00278.jpg,181
trainval_00279.jpg,53
trainval_00280.jpg,116
trainval_00281.jpg,138
trainval_00282.jpg,111
trainval_00283.jpg,100
trainval_00284.jpg,44
trainval_00285.jpg,188
trainval_00286.jpg,185
trainval_00287.jpg,20
trainval_00288.jpg,164
trainval_00289.jpg,130
trainval_00290.jpg,167
trainval_00291.jpg,6
